ImpfungDatum,count
2019-03-08 00:00:00.000,1
2000-02-27 00:00:00.000,1
2016-09-20 00:00:00.000,1
1971-10-15 00:00:00.000,1
1983-04-09 00:00:00.000,1
2018-04-27 00:00:00.000,1
2012-09-18 00:00:00.000,1
2018-04-10 00:00:00.000,1
2017-09-14 00:00:00.000,1
2018-04-05 00:00:00.000,1
2009-02-19 00:00:00.000,1
2018-03-30 00:00:00.000,1
2007-12-12 00:00:00.000,1
1983-05-26 00:00:00.000,1
2018-02-22 00:00:00.000,1
2014-06-23 00:00:00.000,1
2018-02-20 00:00:00.000,1
1994-09-20 00:00:00.000,1
2017-10-11 00:00:00.000,1
2000-04-04 00:00:00.000,1
2004-07-01 00:00:00.000,1
1984-03-08 00:00:00.000,1
1982-04-01 00:00:00.000,1
2018-07-04 00:00:00.000,1
2003-07-15 00:00:00.000,1
2016-01-01 00:00:00.000,1
1998-01-27 00:00:00.000,1
2008-08-20 00:00:00.000,1
2014-07-01 00:00:00.000,1
2012-08-01 00:00:00.000,1
2015-05-22 00:00:00.000,1
2018-06-05 00:00:00.000,1
2018-07-05 00:00:00.000,1
2018-01-05 00:00:00.000,1
2018-06-21 00:00:00.000,1
2018-06-15 00:00:00.000,1
2018-06-11 00:00:00.000,1
2018-05-30 00:00:00.000,1
2006-02-02 00:00:00.000,1
1993-05-06 00:00:00.000,1
2001-08-27 00:00:00.000,1
2017-05-01 00:00:00.000,1
2004-10-01 00:00:00.000,1
2017-06-22 00:00:00.000,1
2018-09-30 00:00:00.000,1
2022-05-10 00:00:00.000,1
2010-10-26 00:00:00.000,1
2022-02-22 00:00:00.000,1
2011-10-01 00:00:00.000,1
2015-10-01 00:00:00.000,1
2024-04-22 00:00:00.000,1
1990-05-01 00:00:00.000,1
2019-09-01 00:00:00.000,1
2024-04-11 00:00:00.000,1
2024-04-07 00:00:00.000,1
2024-04-04 00:00:00.000,1
1997-09-19 00:00:00.000,1
2015-04-24 00:00:00.000,1
1976-07-20 00:00:00.000,1
2024-05-15 00:00:00.000,1
2010-01-12 00:00:00.000,1
2003-06-27 00:00:00.000,1
2024-12-02 00:00:00.000,1
2021-08-24 00:00:00.000,1
2013-08-23 00:00:00.000,1
2013-07-01 00:00:00.000,1
1973-09-11 00:00:00.000,1
2013-06-26 00:00:00.000,1
2020-07-17 00:00:00.000,1
2024-07-19 00:00:00.000,1
