ReportingDate,count
2011-04-22 00:00:00.000,13
2011-05-18 00:00:00.000,13
2015-01-08 00:00:00.000,13
2015-03-20 00:00:00.000,13
2011-01-31 00:00:00.000,13
2015-03-22 00:00:00.000,13
2010-07-05 00:00:00.000,13
2015-01-26 00:00:00.000,12
2013-06-16 00:00:00.000,12
2015-02-05 00:00:00.000,12
2011-04-26 00:00:00.000,12
2010-10-11 00:00:00.000,12
2011-05-31 00:00:00.000,12
2010-08-23 00:00:00.000,12
2013-06-17 00:00:00.000,12
2015-01-05 00:00:00.000,12
2015-02-11 00:00:00.000,12
2015-01-24 00:00:00.000,12
2015-01-23 00:00:00.000,12
2010-03-01 00:00:00.000,12
2011-05-11 00:00:00.000,12
2013-05-19 00:00:00.000,12
2024-09-09 00:00:00.000,12
2011-05-24 00:00:00.000,12
2009-01-19 00:00:00.000,12
2009-01-12 00:00:00.000,12
2015-01-27 00:00:00.000,12
2011-05-21 00:00:00.000,12
2015-05-26 00:00:00.000,12
2006-08-07 00:00:00.000,12
2015-04-30 00:00:00.000,12
2013-07-09 00:00:00.000,12
2005-07-11 00:00:00.000,12
2011-06-04 00:00:00.000,12
2013-07-01 00:00:00.000,12
2015-04-17 00:00:00.000,12
2017-05-04 00:00:00.000,11
2003-07-21 00:00:00.000,11
2017-02-07 00:00:00.000,11
2015-05-13 00:00:00.000,11
2010-10-18 00:00:00.000,11
2013-06-13 00:00:00.000,11
2010-10-04 00:00:00.000,11
2015-05-12 00:00:00.000,11
2013-06-20 00:00:00.000,11
2002-11-25 00:00:00.000,11
2011-05-04 00:00:00.000,11
2013-04-23 00:00:00.000,11
2013-07-08 00:00:00.000,11
2024-09-10 00:00:00.000,11
2002-12-30 00:00:00.000,11
2015-02-04 00:00:00.000,11
2010-11-22 00:00:00.000,11
2015-05-05 00:00:00.000,11
2013-06-26 00:00:00.000,11
2013-06-21 00:00:00.000,11
2015-01-28 00:00:00.000,11
2008-01-21 00:00:00.000,11
2006-09-11 00:00:00.000,11
2013-08-05 00:00:00.000,10
2015-04-11 00:00:00.000,10
2013-07-04 00:00:00.000,10
2011-05-05 00:00:00.000,10
2011-04-05 00:00:00.000,10
2011-04-06 00:00:00.000,10
2013-05-06 00:00:00.000,10
2011-07-11 00:00:00.000,10
2013-06-02 00:00:00.000,10
2011-05-14 00:00:00.000,10
2013-05-25 00:00:00.000,10
2015-02-18 00:00:00.000,10
2011-05-07 00:00:00.000,10
2015-03-01 00:00:00.000,10
2011-04-09 00:00:00.000,10
2003-03-31 00:00:00.000,10
2013-05-01 00:00:00.000,10
2014-12-26 00:00:00.000,10
2016-07-04 00:00:00.000,10
2014-12-16 00:00:00.000,10
2011-05-29 00:00:00.000,10
18.07.2024 11:58,10
2011-05-19 00:00:00.000,10
2015-03-12 00:00:00.000,10
