SequenceName	type	date
03-03599	D7	2003-05-26
03-03600	D7	2003-05-27
03-03603	D7	2003-06-02
03-03609	D7	2003-06-05
03-03616	D7	2003-06-10
03-03617	D7	2003-06-09
03-03619	D7	2003-06-11
03-03621	D7	2003-06-10
03-03622	D7	2003-06-10
03-03627	C2	2003-06-16
03-03628	D7	2003-06-16
03-03643	C2	2003-07-01
03-03644	C2	2003-07-02
03-03660	C2	2003-07-23
03-03674	D7	2003-09-04
03-03738	D6	2003-11-26
04-00132	D6	2004-05-18
05-00061	D4	2005-01-20
05-00135	D4	2005-03-07
05-00136	D4	2005-03-07
05-00155	D4	2005-03-15
05-00204	D4	2005-03-23
05-00239	D6	2005-04-15
05-00246	D4	2005-04-21
05-00248	D4	2005-04-22
05-00252	D4	2005-04-25
05-00253	D4	2005-04-25
05-00255	D6	2005-04-28
05-00257	D4	2005-04-28
05-00258	D4	2005-04-28
05-00265	D6	2005-05-02
05-00266	D6	2005-05-03
05-00271	D4	2005-05-04
05-00272	D4	2005-05-04
05-00273	D4	2005-05-06
05-00275	D4	2005-05-06
05-00277	D4	2005-05-09
05-00287	D6	2005-05-13
05-00288	D6	2005-05-13
05-00291	D4	2005-05-18
05-00321	D6	2005-05-20
05-00322	D6	2005-05-23
05-00350	D4	2005-05-28
05-00351	D4	2005-05-26
05-00353	D6	2005-05-31
05-00355	D6	2005-05-31
05-00371	D4	2005-06-05
05-00374	D6	2005-06-08
05-00385	D4	2005-06-09
05-00424	D4	2005-06-17
05-00464	D6	2005-06-27
05-00465	D6	2005-06-27
05-00467	D6	2005-06-30
05-00469	D6	2005-07-01
05-00473	D6	2005-07-06
05-00539	D4	2005-07-15
05-01027	B2	2005-10-27
06-00025	B3	2006-02-01
06-00036	B3	2006-02-08
06-00048	B3	2006-02-06
06-00050	B3	2006-02-14
06-00051	D6	2006-02-16
06-00054	B3	2006-02-17
06-00057	B3	2006-02-20
06-00058	B3	2006-02-20
06-00059	D4	2006-02-07
06-00127	D6	2006-03-09
06-00130	D6	2006-03-13
06-00139	D6	2006-03-17
06-00141	D6	2006-03-17
06-00142	D6	2006-03-19
06-00143	D6	2006-03-17
06-00145	D6	2006-03-19
06-00146	D6	2006-03-22
06-00147	D6	2006-03-22
06-00148	D6	2006-03-22
06-00149	D6	2006-03-22
06-00151	D6	2006-03-22
06-00152	D6	2006-03-22
06-00153	D6	2006-03-21
06-00154	D6	2006-03-21
06-00156	D4	2006-03-24
06-00160	D6	2006-03-24
06-00162	D6	2006-03-28
06-00163	D6	2006-03-27
06-00164	D6	2006-03-27
06-00173	D6	2006-03-24
06-00185	D6	2006-03-23
06-00193	D4	2006-03-28
06-00197	D6	2006-03-30
06-00199	D6	2006-04-04
06-00200	D6	2006-04-03
06-00201	D6	2006-04-03
06-00202	D6	2006-04-03
06-00203	D4	2006-03-25
06-00205	D6	2006-04-05
06-00206	D6	2006-04-05
06-00210	D6	2006-04-06
06-00211	D4	2006-04-05
06-00219	D6	2006-04-06
06-00222	D6	2006-04-07
06-00223	D6	2006-04-05
06-00224	D6	2006-04-06
06-00225	D6	2006-04-07
06-00226	D6	2006-04-07
06-00227	D6	2006-04-06
06-00229	D6	2006-04-10
06-00230	D6	2006-04-10
06-00231	D6	2006-04-08
06-00234	D6	2006-04-11
06-00238	D6	2006-04-11
06-00239	D6	2006-04-12
06-00240	D6	2006-04-11
06-00241	D6	2006-04-11
06-00242	D6	2006-04-13
06-00246	D6	2006-04-16
06-00247	D6	2006-04-16
06-00248	D6	2006-04-16
06-00250	D6	2006-04-12
06-00251	D6	2006-04-12
06-00252	D6	2006-04-12
06-00253	D6	2006-04-18
06-00254	D6	2006-04-18
06-00256	D6	2006-04-18
06-00257	D6	2006-04-18
06-00261	D6	2006-04-19
06-00262	D6	2006-04-13
06-00263	D6	2006-04-18
06-00264	D6	2006-04-14
06-00265	D6	2006-04-13
06-00266	D6	2006-04-18
06-00267	D6	2006-04-18
06-00269	D6	2006-04-19
